Attack,Round,Candidate,num_correction_pairs,max_line_search_iterations,tolerance,f_relative_tolerance,init_step_size,final_step_size,alpha,Image,Client,Input MSE,Input PSNR,Input SSIM
InvertingGradients,2,12,,,,,0.2,0.003,9.999999999999999e-06,0,1,0.013285505585372448,18.766218185424805,0.691169798374176
InvertingGradients,2,13,,,,,0.2,0.03,1e-07,0,1,0.013282186351716518,18.767303466796875,0.6888381838798523
InvertingGradients,2,14,,,,,0.2,0.03,1e-06,0,1,0.013392415829002857,18.731409072875977,0.6889979243278503
InvertingGradients,2,15,,,,,0.2,0.03,9.999999999999999e-06,0,1,0.013451263308525085,18.712369918823242,0.6915637850761414
InvertingGradients,2,16,,,,,2.0,0.00030000000000000003,1e-07,0,1,0.012947428971529007,18.878164291381836,0.6931323409080505
InvertingGradients,2,17,,,,,2.0,0.00030000000000000003,1e-06,0,1,0.012929295189678669,18.88425064086914,0.6851754784584045
InvertingGradients,2,18,,,,,2.0,0.00030000000000000003,9.999999999999999e-06,0,1,0.013272431679069996,18.77049446105957,0.6856548190116882
InvertingGradients,2,19,,,,,2.0,0.003,1e-07,0,1,0.012886873446404934,18.89852523803711,0.688934862613678
InvertingGradients,2,20,,,,,2.0,0.003,1e-06,0,1,0.012940231710672379,18.880578994750977,0.6865028738975525
InvertingGradients,2,21,,,,,2.0,0.003,9.999999999999999e-06,0,1,0.013154424726963043,18.809280395507812,0.6861495971679688
InvertingGradients,2,22,,,,,2.0,0.03,1e-07,0,1,0.01279336679726839,18.930150985717773,0.6938645243644714
InvertingGradients,2,23,,,,,2.0,0.03,1e-06,0,1,0.013023491017520428,18.852724075317383,0.6846879124641418
InvertingGradients,2,24,,,,,2.0,0.03,9.999999999999999e-06,0,1,0.013070103712379932,18.837207794189453,0.6864611506462097
InvertingGradients,3,1,,,,,0.2,0.003,1e-08,0,1,0.013716824352741241,18.62746238708496,0.6879787445068359
InvertingGradients,3,2,,,,,0.2,0.003,1e-07,0,1,0.013471808284521103,18.705739974975586,0.6899094581604004
InvertingGradients,3,3,,,,,0.2,0.003,1e-06,0,1,0.01316786278039217,18.804845809936523,0.6954157948493958
InvertingGradients,3,4,,,,,0.2,0.03,1e-08,0,1,0.0132096903398633,18.791072845458984,0.6940733790397644
InvertingGradients,3,5,,,,,0.2,0.03,1e-07,0,1,0.013282186351716518,18.767303466796875,0.6888381838798523
InvertingGradients,3,6,,,,,0.2,0.03,1e-06,0,1,0.013392415829002857,18.731409072875977,0.6889979243278503
InvertingGradients,3,7,,,,,2.0,0.003,1e-08,0,1,0.012758751399815083,18.941917419433594,0.6913997530937195
InvertingGradients,3,8,,,,,2.0,0.003,1e-07,0,1,0.012886873446404934,18.89852523803711,0.688934862613678
InvertingGradients,3,9,,,,,2.0,0.003,1e-06,0,1,0.012940231710672379,18.880578994750977,0.6865028738975525
InvertingGradients,3,10,,,,,2.0,0.03,1e-08,0,1,0.012692834250628948,18.964414596557617,0.6954664587974548
InvertingGradients,3,11,,,,,2.0,0.03,1e-07,0,1,0.01279336679726839,18.930150985717773,0.6938645243644714
InvertingGradients,3,12,,,,,2.0,0.03,1e-06,0,1,0.013023491017520428,18.852724075317383,0.6846879124641418
InvertingGradients,3,13,,,,,2.0,0.3,1e-08,0,1,0.013473033905029297,18.705345153808594,0.6550607681274414
InvertingGradients,3,14,,,,,2.0,0.3,1e-07,0,1,0.013313631527125835,18.757034301757812,0.6702184677124023
InvertingGradients,3,15,,,,,2.0,0.3,1e-06,0,1,0.013263636268675327,18.773372650146484,0.6653211116790771
InvertingGradients,3,16,,,,,20.0,0.003,1e-08,0,1,0.30194881558418274,5.200666427612305,0.026208549737930298
InvertingGradients,3,17,,,,,20.0,0.003,1e-07,0,1,0.29596349596977234,5.287618160247803,0.061095695942640305
InvertingGradients,3,18,,,,,20.0,0.003,1e-06,0,1,0.3041192591190338,5.16956090927124,0.058212991803884506
InvertingGradients,3,19,,,,,20.0,0.03,1e-08,0,1,0.3019523322582245,5.200615882873535,0.02619430236518383
InvertingGradients,3,20,,,,,20.0,0.03,1e-07,0,1,0.2959601879119873,5.2876667976379395,0.061093520373106
InvertingGradients,3,21,,,,,20.0,0.03,1e-06,0,1,0.3041192591190338,5.16956090927124,0.058212991803884506
InvertingGradients,3,22,,,,,20.0,0.3,1e-08,0,1,0.301880806684494,5.2016448974609375,0.02618362195789814
InvertingGradients,3,23,,,,,20.0,0.3,1e-07,0,1,0.29596272110939026,5.287630081176758,0.061086107045412064
InvertingGradients,3,24,,,,,20.0,0.3,1e-06,0,1,0.3041192591190338,5.16956090927124,0.058212991803884506
