Attack,Round,Candidate,num_correction_pairs,max_line_search_iterations,tolerance,f_relative_tolerance,init_step_size,final_step_size,alpha,Image,Client,Input MSE,Input PSNR,Input SSIM
InvertingGradients,2,9,,,,,0.34750000000000003,0.07525000000000001,1.2475e-12,0,1,0.010284289717674255,19.87825584411621,0.7697315812110901
InvertingGradients,2,10,,,,,0.34750000000000003,0.1,7.525e-13,0,1,0.015308824367821217,18.15058135986328,0.6510195136070251
InvertingGradients,2,11,,,,,0.34750000000000003,0.1,1e-12,0,1,0.00970409158617258,20.130449295043945,0.782304048538208
InvertingGradients,2,12,,,,,0.34750000000000003,0.1,1.2475e-12,0,1,0.01203664019703865,19.1949462890625,0.7159812450408936
InvertingGradients,2,13,,,,,0.34750000000000003,0.12475,7.525e-13,0,1,0.015850843861699104,17.999475479125977,0.6199393272399902
InvertingGradients,2,14,,,,,0.34750000000000003,0.12475,1e-12,0,1,0.011072664521634579,19.557477951049805,0.7365331649780273
InvertingGradients,2,15,,,,,0.34750000000000003,0.12475,1.2475e-12,0,1,0.014094780199229717,18.509416580200195,0.6587311625480652
InvertingGradients,3,1,,,,,0.1,0.06287500000000001,6.287499999999999e-13,0,1,0.008089981973171234,20.920522689819336,0.8190684914588928
InvertingGradients,3,2,,,,,0.1,0.06287500000000001,7.525e-13,0,1,0.008435074239969254,20.739110946655273,0.8171764016151428
InvertingGradients,3,3,,,,,0.1,0.06287500000000001,8.7625e-13,0,1,0.008666600100696087,20.621511459350586,0.8121926784515381
InvertingGradients,3,4,,,,,0.1,0.07525000000000001,6.287499999999999e-13,0,1,0.008173839189112186,20.8757381439209,0.8243802189826965
InvertingGradients,3,5,,,,,0.1,0.07525000000000001,7.525e-13,0,1,0.008289559744298458,20.81468391418457,0.818488359451294
InvertingGradients,3,6,,,,,0.1,0.07525000000000001,8.7625e-13,0,1,0.008614459075033665,20.64771842956543,0.8098919987678528
InvertingGradients,3,7,,,,,0.1,0.08762500000000001,6.287499999999999e-13,0,1,0.00801909901201725,20.958744049072266,0.816465437412262
InvertingGradients,3,8,,,,,0.1,0.08762500000000001,7.525e-13,0,1,0.008513426408171654,20.698955535888672,0.8104410767555237
InvertingGradients,3,9,,,,,0.1,0.08762500000000001,8.7625e-13,0,1,0.008803999051451683,20.553199768066406,0.7992550730705261
InvertingGradients,3,10,,,,,0.186875,0.06287500000000001,6.287499999999999e-13,0,1,0.009160604327917099,20.380756378173828,0.7818557620048523
InvertingGradients,3,11,,,,,0.186875,0.06287500000000001,7.525e-13,0,1,0.008804972283542156,20.552719116210938,0.8042199015617371
InvertingGradients,3,12,,,,,0.186875,0.06287500000000001,8.7625e-13,0,1,0.008849449455738068,20.53083610534668,0.8067291378974915
InvertingGradients,3,13,,,,,0.186875,0.07525000000000001,6.287499999999999e-13,0,1,0.00890085007995367,20.50568199157715,0.7908217310905457
InvertingGradients,3,14,,,,,0.186875,0.07525000000000001,7.525e-13,0,1,0.008607643656432629,20.65115737915039,0.7980433106422424
InvertingGradients,3,15,,,,,0.186875,0.07525000000000001,8.7625e-13,0,1,0.008639502339065075,20.635112762451172,0.8064287304878235
InvertingGradients,3,16,,,,,0.186875,0.08762500000000001,6.287499999999999e-13,0,1,0.00852249190211296,20.694334030151367,0.8076522350311279
InvertingGradients,3,17,,,,,0.186875,0.08762500000000001,7.525e-13,0,1,0.008866192772984505,20.522626876831055,0.7958188056945801
InvertingGradients,3,18,,,,,0.186875,0.08762500000000001,8.7625e-13,0,1,0.008743577636778355,20.583106994628906,0.8055217266082764
